"Project","Description","Number of packages","Number of classes","Number of test classes","Minimum class depth","Median class depth","Maximum class depth","Number of tests","Number of helpers","Minimum max helper depth","Median max helper depth","Maximum max helper depth","Minimum primitive calls in test count","Median primitive calls in test count","Maximum primitive calls in test count","Minimum helper calls in test count","Median helper calls in test count","Maximum helper calls in test count","Minimum helper call/definition delta","Median helper call/definition delta","Maximum helper call/definition delta","Insidious cat. 1","Insidious cat. 2","Insidious cat. 3","Insidious cat. 4"
"SQLite3","","2","97","5","1","1","1","84","0","0","0","0","0","4","23","0","0","0","","","","0","0","0","0"
"Seamless","","4","101","37","1","2","4","279","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0"
"Seaside","","52","848","139","1","3","6","1177","50","0","1","3","0","1","32","0","1","3","0","0","3","35","17","0","1"
"SimpleDDS","","2","74","20","1","2","3","96","3","0","0","1","0","1","2","0","0","1","0","0","0","0","0","0","0"
"SmartTest","","1","41","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Sparta","","0","0","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Spec","","21","732","150","1","3","6","2117","2","0","0","2","0","1","23","0","0","1","0","0","0","0","0","0","2"
"Spy2","","8","177","21","1","2","3","123","8","0","0","2","0","2","12","0","0","2","0","0","0","0","0","1","0"
"StateSpecs","","8","92","31","1","1","1","195","0","0","0","0","1","2","11","0","0","0","","","","0","0","0","0"
"Tealight","","2","7","1","1","1","1","7","1","0","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0"
"Teapot","","3","67","23","1","1","1","79","2","0","0","1","0","1","5","0","0","2","0","0","0","0","0","0","0"
"TelePharo","","5","10","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Telescope","","8","187","26","1","1","2","119","0","0","0","0","0","1","9","0","0","0","","","","0","0","0","0"
"TelescopeCytoscape","","4","58","5","1","1","1","17","0","0","0","0","0","3","7","0","0","0","","","","0","0","0","0"
"TinyLogger","","2","14","5","2","3","3","37","0","0","0","0","1","2","6","0","0","0","","","","0","0","0","0"
"TreeQuery","","3","50","19","1","2","3","66","0","0","0","0","1","1","6","0","0","0","","","","0","0","0","0"
"ViennaTalk","","25","167","37","1","1","1","1005","3","0","0","1","0","1","15","0","0","1","0","0","0","0","0","0","0"
"Willow","","1","125","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Willow-Bootstrap","","1","67","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
